Country of Destiny,CountryDestinyEN
PERU,PERU
LIBANO,LEBANON
JORDANIA,JORDAN
RUSIA,RUSSIA
REP GEORGIAGEORGIA,REP OF GEORGIA
VIETNAM,VIETNAM
ANGOLA,ANGOLA
HONG KONG,HONG KONG
EGIPTO,EGYPT
SAN MARTIN PARTE HOLANDESA,SAN MARTIN (DUTCH)
PAISES BAJOS - HOLANDA,NETHERLANDS
ESTADOS UNIDOS,U.S.
REINO UNIDO,UNITED KINGDOM
CHILE,CHILE
CANADA,CANADA
BELGICA,BELGIUM
ALEMANIA,GERMANY
ZONA FRANCA BIOCOMBUSTIBLE DL CARIBE S A,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
REPUBLICA DOMINICANA,DOMINICAN REPUBLIC
GUYANA,GUYANA
TRINIDAD Y TOBAGO,TRINIDAD AND TOBAGO
PUERTO RICO,PUERTO RICO
FRANCIA,FRANCE
ISRAEL,ISRAEL
AUSTRALIA,AUSTRALIA
NICARAGUA,NICARAGUA
MEXICO,MEXICO
URUGUAY,URUGUAY
ARGENTINA,ARGENTINA
ARUBA,ARUBA
BENIN,BENIN
BRASIL,BRAZIL
PANAMA,PANAMA
JAPON,JAPAN
COREA SUR REPUBLICA DE,SOUTH KOREA REPUBLIC OF
ESPANA,SPAIN
PARAGUAY,PARAGUAY
SURINAM,SURINAME
ZONA FRANCA BARRANQUILLA,FREE ZONE BARRANQUILLA
VENEZUELA,VENEZUELA
COSTA RICA,COSTA RICA
ZFPE  COLOMBINA DEL CAUCA,ZFPE COLOMBINA DEL CAUCA
ZFP CENTRO LOGISTICO DEL PACIFICO CELPA,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
ZF CENCAUCA PARQUE INDL CALOTO,ZF CENCAUCA PARQUE INDL CALOTO
ZONA FRANCA CARTAGENA,FREE ZONE CARTAGENA
ZONA FRANCA LAS AMERICAS,FREE ZONE LAS AMERICAS
NUEVA ZELANDIA,NEW ZEALAND
DOMINICA,DOMINICA
ANTILLAS HOLANDESAS,NETHERLANDS ANTILLES
HAITI,HAITI
CUBA,CUBA
GUATEMALA,GUATEMALA
HONDURAS,HONDURAS
ECUADOR,ECUADOR
REPUBLICA CHECA,CZECH REPUBLIC
BOLIVIA,BOLIVIA
TURQUIA,TURKEY
UCRANIA,UKRAINE
CURAZAO,CURACAO
CONGO,CONGO
CHINA,CHINA
CANADÁ,CANADA
CORRÍ,IRAN
MOZAMBIQUE,MOZAMBIQUE
PAKISTÁN,PAKISTAN
SEYCHELLES,SEYCHELLES
FINLANDIA,FINLAND
REPÚBLICA DOMINICANA,DOMINICAN REPUBLIC
KAZAJSTÁN,KAZAKHSTAN
SENEGAL,SENEGAL
INDIA,INDIA
EMIRATOS ÁRABES UNIDOS,UNITED ARAB EMIRATES
BAHREIN,BAHRAIN
KUWAIT,KUWAIT
MÉJICO,MEXICO
TURQUÍA,TURKEY
BÉLGICA,BELGIUM
KIRGUISTÁN,KYRGYZSTAN
FILIPINAS,PHILIPPINES
ITALIA,ITALY
MAURITANIA,MAURITANIA
MONTENEGRO,MONTENEGRO
NÍGER,NIGER
SAN CRISTÓBAL Y NIEVES,SAINT KITTS AND NEVIS
SERBIA,SERBIA
"MACEDONIA, FYR","MACEDONIA, FYR"
GRECIA,GREECE
COSTA DE MARFIL,COTE D'IVOIRE
PAÍSES BAJOS,NETHERLANDS
SUIZA,SWITZERLAND
BULGARIA,BULGARIA
CROACIA,CROATIA
DINAMARCA,DENMARK
NUEVA CALEDONIA,NEW CALEDONIA
BURKINA FASO,BURKINA FASO
LUXEMBURGO,LUXEMBOURG
MALÍ,MALI
NIGERIA,NIGERIA
ESPAÑA,SPAIN
SUECIA,SWEDEN
RUMANIA,ROMANIA
ARABIA SAUDITA,SAUDI ARABIA
TÚNEZ,TUNISIA
UGANDA,UGANDA
AUSTRIA,AUSTRIA
"CONGO, DEM. REPS.","CONGO, DEM. REP."
GAMBIA,GAMBIA
GHANA,GHANA
JAPÓN,JAPAN
JORDÁN,JORDAN
LÍBANO,LEBANON
LIBIA,LIBYA
"COREA, REP.","KOREA, REP."
MALASIA,MALAYSIA
SRI LANKA,SRI LANKA
GUINEA,GUINEA
"CHINA, REGIÓN ADMINISTRATIVA ESPECIAL DE HONG KONG","CHINA, HONG KONG SAR"
TONGA,TONGA
SAMOA,SAMOA
CAMERÚN,CAMEROON
IR,TOGO
COMORAS,COMOROS
ZIMBABUE,ZIMBABWE
ZAMBIA,ZAMBIA
BOTSWANA,BOTSWANA
ETIOPÍA,ETHIOPIA
MOLDAVIA,MOLDOVA
RUANDA,RWANDA
IRLANDA,IRELAND
FEDERACIÓN RUSA,RUSSIAN FEDERATION
YEMEN,YEMEN
NAMIBIA,NAMIBIA
"CONGO, REP.","CONGO, REP."
SANTO TOMÉ Y PRÍNCIPE,SAO TOME AND PRINCIPE
SUDÁFRICA,SOUTH AFRICA
ALBANIA,ALBANIA
ISLAS VÍRGENES BRITÁNICAS,BRITISH VIRGIN ISDS
MONTSERRAT,MONTSERRAT
CURACAO,CURACAO
PORTUGAL,PORTUGAL
SAN VICENTE Y LAS GRANADINAS,SAINT VINCENT AND THE GRENADINES
"ÁREAS, NEP","AREAS, NES"
MALTA,MALTA
GUAYANA,GUYANA
SANTA LUCÍA,SAINT LUCIA
SOLOMON ISDS,SOLOMON ISDS
GEORGIA,GEORGIA
BELARÚS,BELARUS
IRAK,IRAQ
TAILANDIA,THAILAND
TAYIKISTÁN,TAJIKISTAN
TURKMENISTÁN,TURKMENISTAN
AFGANISTÁN,AFGHANISTAN
ARGELIA,ALGERIA
ANDORRA,ANDORRA
AZERBAIYÁN,AZERBAIJAN
BAHAMAS,BAHAMAS
BANGLADESH,BANGLADESH
ARMENIA,ARMENIA
BARBADOS,BARBADOS
BOSNIA HERZEGOVINA,BOSNIA HERZEGOVINA
BELICE,BELIZE
BURUNDI,BURUNDI
CABO VERDE,CABO VERDE
COLOMBIA,COLOMBIA
CHIPRE,CYPRUS
REPÚBLICA CHECA.,CZECH REP.
EL SALVADOR,EL SALVADOR
GUINEA ECUATORIAL,EQUATORIAL GUINEA
ESTONIA,ESTONIA
POLINESIA FRANCÉS,FRENCH POLYNESIA
DJIBOUTI,DJIBOUTI
GABÓN,GABON
ESTADO DE PALESTINA,STATE OF PALESTINE
HAITÍ,HAITI
HUNGRÍA,HUNGARY
INDONESIA,INDONESIA
JAMAICA,JAMAICA
KENIA,KENYA
LETONIA,LATVIA
LIBERIA,LIBERIA
LITUANIA,LITHUANIA
MADAGASCAR,MADAGASCAR
MALAWI,MALAWI
MAURICIO,MAURITIUS
"OTROS ASIA, NES","OTHER ASIA, NES"
MARRUECOS,MOROCCO
OMÁN,OMAN
NEPAL,NEPAL
NUEVA ZELANDA,NEW ZEALAND
NORUEGA,NORWAY
PANAMÁ,PANAMA
PERÚ,PERU
POLONIA,POLAND
GUINEA-BISSAU,GUINEA-BISSAU
KATAR,QATAR
SIERRA LEONA,SIERRA LEONE
SINGAPUR,SINGAPORE
ESLOVAQUIA,SLOVAKIA
ESLOVENIA,SLOVENIA
SURINAME,SURINAME
SIRIA,SYRIA
TANZANIA,TANZANIA
ZONAS LIBRES,FREE ZONES
CAMBOYA,CAMBODIA
ERITREA,ERITREA
SUDÁN,SUDAN
BRUNEI DARUSSALAM,BRUNEI DARUSSALAM
ISLANDIA,ICELAND
MALDIVAS,MALDIVES
ANTIGUA Y BARBUDA,ANTIGUA AND BARBUDA
"CHINA, RAE DE MACAO","CHINA, MACAO SAR"
SUDÁN DEL SUR,SOUTH SUDAN
ANTÁRTIDA,ANTARCTICA
MYANMAR,MYANMAR
NAVIDAD,CHRISTMAS ISDS
COCINEROS,COOK ISDS
FIYI,FIJI
KIRIBATI,KIRIBATI
GUAM,GUAM
"COREA, DEM. REPS.","KOREA, DEM. REP."
REPÚBLICA DEMOCRÁTICA POPULAR LAO,LAO PDR
MONGOLIA,MONGOLIA
NAURU,NAURU
VANUATU,VANUATU
NORFOLK ISDS,NORFOLK ISDS
N. MARIANA ISDS,N. MARIANA ISDS
MICRONESIA,MICRONESIA
MARSHALL ISDS,MARSHALL ISDS
PALAU,PALAU
PAPÚA NUEVA GUINEA,PAPUA NEW GUINEA
TIMOR ORIENTAL,TIMOR-LESTE
FMR SUDÁN,FMR SUDAN
TUVALU,TUVALU
WALLIS Y FUTUNA ISDS,WALLIS AND FUTUNA ISDS
SAMOA AMERICANA,AMERICAN SAMOA
SANTA ELENA,SAINT HELENA
BUNKERS,BUNKERS
ISLAS BERMUDAS,BERMUDA
UZBEKISTÁN,UZBEKISTAN
TIERRA VERDE,GREENLAND
SWAZILANDIA,SWAZILAND
GRANADA,GRENADA
REP. CENTROAFRICANA,CENTRAL AFRICAN REP.
CHAD,CHAD
MAYOTTE,MAYOTTE
LESOTO,LESOTHO
FAEROE ISDS,FAEROE ISDS
SAN PEDRO Y MIQUELÓN,SAINT PIERRE AND MIQUELON
TERRITORIOS FRANCESES DEL SUR,FRENCH SOUTHERN TERRITORIES
BONAIRE,BONAIRE
ANGUILA,ANGUILLA
SAN MARINO,SAN MARINO
SANTA SEDE,HOLY SEE
SINT MAARTEN (PARTE HOLANDESA),SINT MAARTEN (DUTCH PART)
"OTROS ÁFRICA, NES","OTHER AFRICA, NES"
CAYMAN ISDS,CAYMAN ISDS
ISLAS TURCAS Y CAICOS,TURKS AND CAICOS ISDS
CATEGORÍAS ESPECIALES,SPECIAL CATEGORIES
FALKLAND ISDS (MALVINAS),FALKLAND ISDS (MALVINAS)
ESTADOS UNIDOS MINOR OUTLYING ISDS,UNITED STATES MINOR OUTLYING ISDS
SOMALIA,SOMALIA
"OCEANÍA, NES","OCEANIA, NES"
"OTRAS EUROPA, NES","OTHER EUROPE, NES"
BUTÁN,BHUTAN
ISLA DE HEARD Y MCDONALD ISDS,HEARD ISLAND AND MCDONALD ISDS
NIUE,NIUE
SAN BARTOLOMÉ,SAINT-BARTHELEMY
GIBRALTAR,GIBRALTAR
"ASOCIACIÓN LATINOAMERICANA DE INTEGRACIÓN, NES","LATIN AMERICAN INTEGRATION ASSOCIATION, NES"
PITCAIRN,PITCAIRN
TERRITORIO BRITÁNICO DEL OCÉANO ÍNDICO,BRITISH INDIAN OCEAN TERRITORY
TOKELAU,TOKELAU
ISLA BOUVET,BOUVET ISLAND
ISLAS COCOS,COCOS ISDS
GEORGIA DEL SUR Y SANDWICH DEL SUR,SOUTH GEORGIA AND THE SOUTH SANDWICH ISDS
NOS.,U.S.
COREA DEL SUR REPÚBLICA DE,SOUTH KOREA REPUBLIC OF
ZONA LIBRE BIOCOMBUSTIBLE DL CARIBE,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
ZONA LIBRE BARRANQUILLA,FREE ZONE BARRANQUILLA
SAN MARTIN (HOLANDÉS),SAN MARTIN (DUTCH)
COREA DEL SUR,SOUTH KOREA
TAIWÁN,TAIWAN
ISLA DE DOMINICA,DOMINICA ISLAND
ST. VICENTE Y LAS GRANADINAS,ST. VICENT AND THE GRENADINES
ST. KITTS Y NEVIS,ST. KITTS AND NEVIS
REPÚBLICA DEMOCRÁTICA DEL CONGO,CONGO DEMOCRATIC REPUBLIC OF THE
REPÚBLICA ÁRABE SIRIA,SYRIAN ARAB REPUBLIC
ZFPE COLOMBINA DEL CAUCA,ZFPE COLOMBINA DEL CAUCA
ZFP CENTRO LOGÍSTICO DEL PACÍFICO CELPA,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
ZONA LIBRE CARTAGENA,FREE ZONE CARTAGENA
ZONA LIBRE LAS AMERICAS,FREE ZONE LAS AMERICAS
REPÚBLICA CHECA,CZECH REPUBLIC
REP DE GEORGIA,REP OF GEORGIA
peru,PERU
libano,LEBANON
jordania,JORDAN
rusia,RUSSIA
rep georgiageorgia,REP OF GEORGIA
vietnam,VIETNAM
angola,ANGOLA
hong kong,HONG KONG
egipto,EGYPT
san martin parte holandesa,SAN MARTIN (DUTCH)
paises bajos - holanda,NETHERLANDS
estados unidos,U.S.
reino unido,UNITED KINGDOM
chile,CHILE
canada,CANADA
belgica,BELGIUM
alemania,GERMANY
zona franca biocombustible dl caribe s a,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
republica dominicana,DOMINICAN REPUBLIC
guyana,GUYANA
trinidad y tobago,TRINIDAD AND TOBAGO
puerto rico,PUERTO RICO
francia,FRANCE
israel,ISRAEL
australia,AUSTRALIA
nicaragua,NICARAGUA
mexico,MEXICO
uruguay,URUGUAY
argentina,ARGENTINA
aruba,ARUBA
benin,BENIN
brasil,BRAZIL
panama,PANAMA
japon,JAPAN
corea sur republica de,SOUTH KOREA REPUBLIC OF
espana,SPAIN
paraguay,PARAGUAY
surinam,SURINAME
zona franca barranquilla,FREE ZONE BARRANQUILLA
venezuela,VENEZUELA
costa rica,COSTA RICA
zfpe  colombina del cauca,ZFPE COLOMBINA DEL CAUCA
zfp centro logistico del pacifico celpa,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
zf cencauca parque indl caloto,ZF CENCAUCA PARQUE INDL CALOTO
zona franca cartagena,FREE ZONE CARTAGENA
zona franca las americas,FREE ZONE LAS AMERICAS
nueva zelandia,NEW ZEALAND
dominica,DOMINICA
antillas holandesas,NETHERLANDS ANTILLES
haiti,HAITI
cuba,CUBA
guatemala,GUATEMALA
honduras,HONDURAS
ecuador,ECUADOR
republica checa,CZECH REPUBLIC
bolivia,BOLIVIA
turquia,TURKEY
ucrania,UKRAINE
curazao,CURACAO
congo,CONGO
china,CHINA
canadá,CANADA
corrí,IRAN
mozambique,MOZAMBIQUE
pakistán,PAKISTAN
seychelles,SEYCHELLES
finlandia,FINLAND
república dominicana,DOMINICAN REPUBLIC
kazajstán,KAZAKHSTAN
senegal,SENEGAL
india,INDIA
emiratos árabes unidos,UNITED ARAB EMIRATES
bahrein,BAHRAIN
kuwait,KUWAIT
méjico,MEXICO
turquía,TURKEY
bélgica,BELGIUM
